Topic,Asset,Interval,Target param,RF_R2,RF_RMSE,Target_Std
Iran war/Oil,YM,1d,Return,-0.1461854586736786,0.004509638197736764,0.004212251108148801
Iran war/Oil,ZN,5m,Return,-0.17755335748045087,0.00015844052743042874,0.00014600777469117961
Iran war/Oil,ZN,15m,Return,-0.10971739092508148,0.00036622391273940884,0.0003476486139797558
Iran war/Oil,ZN,30m,Return,0.04542257686390183,0.0003535769560333901,0.0003618914922388444
Iran war/Oil,ZN,1h,Return,-0.053364888361785434,0.0008712121001163778,0.0008488568930247587
Iran war/Oil,ZN,1d,Return,-1.213453571743624,0.0017555327403899594,0.0011799774966593014
Iran war/Oil,I_NDX,5m,Return,-1.6238152822918357,0.0007780919536032756,0.0004803571899627066
Iran war/Oil,I_NDX,15m,Return,-1.0640445184371665,0.0016329924864269974,0.0011366445042313227
Iran war/Oil,I_NDX,30m,Return,-0.4628340750487505,0.001517366912320618,0.0012545647346726653
Iran war/Oil,I_NDX,1h,Return,-3.1049646724728417,0.003041120486692097,0.001500993857260084
Iran war/Oil,I_NDX,1d,Return,0.1161513290604328,0.005575226425622986,0.0059302575267090925
Iran war/Oil,X_BTCUSD,5m,Vol,-0.007189171785741966,0.00016681998989848227,0.0001662235551005641
Iran war/Oil,X_BTCUSD,15m,Vol,-0.11871820364405172,6.469053836577689e-05,6.116182178548801e-05
Iran war/Oil,X_BTCUSD,30m,Vol,-0.11479515361494563,4.8173920779227036e-05,4.5626216625263016e-05
Iran war/Oil,X_BTCUSD,1h,Vol,-0.394939104376717,2.7232261967965356e-05,2.3057174783235268e-05
Iran war/Oil,X_BTCUSD,1d,Vol,-2.6647191429640733,3.7822640867107133e-06,1.975747771080764e-06
Iran war/Oil,CL,5m,Vol,-0.6925610095745538,0.00038505752352996174,0.00029597392191601314
Iran war/Oil,CL,15m,Vol,-0.5709352565316814,0.00022798517982298527,0.00018189781123656096
Iran war/Oil,CL,30m,Vol,-0.30801860002280224,0.0001662981858232618,0.0001454054054054054
Iran war/Oil,CL,1h,Vol,-0.682996706283939,0.00016696399461350135,0.0001287007843483943
Iran war/Oil,CL,1d,Vol,-0.8598264591890343,2.4696334994532313e-05,1.8109076214540788e-05
Iran war/Oil,ES,5m,Vol,-0.012457417308723073,4.578630687549824e-05,4.550375449074324e-05
